"MCL1","MYCN","GLI2","EGFR","CDK6","MET","FGFR1","MYC","CDKN2A.B","PTCH1","PTEN","CCND1","KRAS","CDK4","MDM2","RB1","TP53","NF1","ERBB2","CCNE1","Sample_Name"
0.087,0.111,-0.02,-0.057,-0.088,0.409,0.035,0.038,-0.163,0.058,0.137,0.01,-0.035,0.261,0.574,0.057,0.006,-0.047,-0.045,-0.01,"TCGA-06-6391"
0.122,0.076,-0.018,0.053,0.103,0.151,-0.013,0.063,0.091,0.075,0.101,-0.007,-0.002,0.054,0.233,0.054,0,-0.22,-0.042,0.057,"TCGA-32-1980"
0.062,-0.014,0.018,1.106,0.179,0.351,0.029,0.007,-1.182,-0.024,-0.22,-0.003,-0.102,0.006,0.073,-0.016,0.022,-0.044,-0.019,0.231,"TCGA-87-5896"
0.073,0.079,0.019,-0.017,0.571,0.121,-0.002,-0.013,-0.012,-0.02,-0.099,-0.002,0.007,0.097,0.09,-0.251,0.03,-0.165,0.079,0.12,"TCGA-15-1444"
0.088,0.04,0.014,0.286,0.174,0.355,0.017,0.014,-1.825,0.054,-0.266,-0.033,-0.018,-0.01,0.149,0.028,0.028,-0.006,0.011,0.032,"TCGA-76-6191"
0.1,0.013,0.026,0.193,0.269,0.33,0.034,0.031,-0.184,0.028,-0.107,-0.03,-0.034,-0.015,0.13,-0.303,0.001,-0.086,-0.033,-0.001,"TCGA-06-1804"
0.126,0.055,0.04,0.427,0.474,0.38,-0.065,-0.057,-1.778,0.108,-0.26,-0.065,-0.023,-0.015,0.186,-0.009,-0.028,-0.103,-0.026,0.074,"TCGA-06-5408"
0.14,0.068,0.007,0.216,0.295,0.312,-0.015,0.06,-1.414,0.105,-0.214,0.027,-0.114,-0.09,0.106,-0.338,-0.424,-0.665,-0.366,-0.002,"TCGA-76-6285"
0.111,0.121,0.019,0.924,0.14,0.171,-0.039,0.008,-0.057,0.065,0.074,0.029,-0.09,-0.063,0.136,-0.084,-0.046,-0.213,0.013,0.092,"TCGA-28-2501"
0.138,0.012,-0.021,1.302,-0.045,-0.043,-0.054,-0.019,-2.059,0.108,-0.177,0.02,0.082,-0.219,0.226,0.004,0.056,-0.205,-0.002,0.274,"TCGA-19-5951"
0.039,0.032,0.031,0.294,0.277,0.322,0.018,0.057,-0.912,0.023,-0.159,-0.008,-0.004,0.02,0.132,0.039,0.03,-0.141,-0.04,0.029,"TCGA-28-6450"
0.195,0.17,0.026,0.069,0.12,0.178,0.038,-0.117,-0.073,0.061,0.126,-0.054,-0.091,-0.095,0.212,0.052,0.144,-0.188,-0.014,0.058,"TCGA-14-0781"
0.045,0.073,0.013,0.195,0.116,0.216,0.008,0.005,-0.353,0.103,-0.035,0.014,-0.029,-0.011,0.15,-0.178,-0.017,-0.182,-0.05,0.058,"TCGA-76-6192"
0.032,0.067,-0.002,1.046,0.067,0.11,0.046,0.063,-0.06,-0.007,0.04,-0.018,-0.082,-0.035,0.115,0.024,0.014,-0.154,-0.023,0.078,"TCGA-06-0650"
0.078,0.02,-0.026,1.272,0.276,0.304,0.04,0.06,-1.796,0.026,-0.227,0.022,-0.059,0.04,0.073,0.063,0.032,-0.117,-0.063,0.299,"TCGA-DU-6406"
-0.038,0.095,0.045,1.178,0.308,0.3,-0.02,0.066,-1.811,0.062,-0.203,0.035,-0.096,-0.036,0.067,0.013,-0.055,-0.117,-0.052,-0.073,"TCGA-81-5910"
